SecurityID,TradeTime,TradePrice,TradeQty,TradeAmount,BuyNo,SellNo,TradeIndex,ChannelNo,TradeBSFlag,BizIndex
600020,2021.01.04T09:25:00.630,3.39,2100,7119,85961,78316,19719,1,N,123713
600020,2021.01.04T09:25:00.630,3.39,1000,3390,129945,78316,19720,1,N,123714
600020,2021.01.04T09:25:00.630,3.39,900,3051,158039,78316,19721,1,N,123715
600020,2021.01.04T09:25:00.630,3.39,5000,16950,158039,158092,19722,1,N,123716
600020,2021.01.04T09:25:00.630,3.39,6600,22374,158039,118594,19723,1,N,123717
600020,2021.01.04T09:25:00.630,3.39,2500,8475,158039,138050,19724,1,N,123718
600020,2021.01.04T09:25:00.630,3.39,400,1356,42283,138050,19725,1,N,123719
600020,2021.01.04T09:25:00.630,3.39,100,339,42283,38902,19726,1,N,123720
600020,2021.01.04T09:25:00.630,3.39,3883,13163.3700000000008,42283,45597,19727,1,N,123721
600020,2021.01.04T09:25:00.630,3.39,12000,40680,42283,168862,19728,1,N,123722
600020,2021.01.04T09:25:00.630,3.39,14217,48195.62999999999738,42283,182536,19729,1,N,123723
600020,2021.01.04T09:25:00.630,3.39,200,678,113248,182536,19730,1,N,123724
600020,2021.01.04T09:25:00.630,3.39,200,678,130739,182536,19731,1,N,123725
600020,2021.01.04T09:25:00.630,3.39,83,281.370000000000004,162564,182536,19732,1,N,123726
600020,2021.01.04T09:25:00.630,3.39,217,735.629999999999995,162564,183396,19733,1,N,123727
600020,2021.01.04T09:25:00.630,3.39,10000,33900,168216,183396,19734,1,N,123728
600020,2021.01.04T09:25:00.630,3.39,4700,15933,175032,183396,19735,1,N,123729
600020,2021.01.04T09:25:00.630,3.39,500,1695,11744,183396,19736,1,N,123730
600020,2021.01.04T09:25:00.630,3.39,200,678,103833,183396,19737,1,N,123731
600020,2021.01.04T09:25:00.630,3.39,1000,3390,126214,183396,19738,1,N,123732
600020,2021.01.04T09:25:00.630,3.39,1283,4349.36999999999989,152367,183396,19739,1,N,123733
600020,2021.01.04T09:25:00.630,3.39,1000,3390,152367,3748,19740,1,N,123734
600020,2021.01.04T09:25:00.630,3.39,917,3108.630000000000109,152367,8849,19741,1,N,123735
600020,2021.01.04T09:30:01.090,3.39,683,2315.36999999999989,194624,8849,38399,1,B,235700
600020,2021.01.04T09:30:01.090,3.39,500,1695,194624,9836,38400,1,B,235701
600020,2021.01.04T09:30:01.090,3.39,100,339,194624,38900,38401,1,B,235702
600020,2021.01.04T09:30:01.090,3.39,100,339,194624,38901,38402,1,B,235703
600020,2021.01.04T09:30:01.090,3.39,500,1695,194624,78997,38403,1,B,235704
600020,2021.01.04T09:30:01.090,3.39,300,1017,194624,163848,38404,1,B,235705
600020,2021.01.04T09:30:01.090,3.39,817,2769.630000000000109,194624,168269,38405,1,B,235706
600020,2021.01.04T09:30:01.840,3.39,5000,16950,204533,178850,42566,1,B,248554
600020,2021.01.04T09:30:01.840,3.39,100,339,204533,189366,42567,1,B,248555
600020,2021.01.04T09:30:01.840,3.4,1000,3400,204533,20417,42568,1,B,248556
600020,2021.01.04T09:30:02.780,3.39,900,3051,218736,208905,48266,1,B,266741
600020,2021.01.04T09:30:03.730,3.39,500,1695,218736,231909,53764,1,S,283692
600020,2021.01.04T09:30:04.030,3.39,4500,15255,218736,237496,55845,1,S,290603
600020,2021.01.04T09:30:04.030,3.39,9200,31188,221100,237496,55846,1,S,290604
600020,2021.01.04T09:30:04.170,3.39,800,2712,221100,238007,56048,1,S,291238
600020,2021.01.04T09:30:04.170,3.39,5000,16950,225210,238007,56049,1,S,291239
600020,2021.01.04T09:30:04.420,3.38,365,1233.700000000000045,62541,241961,57656,1,S,296215
600020,2021.01.04T09:30:04.540,3.39,4200,14238,243003,238007,58071,1,B,297503
600020,2021.01.04T09:30:04.660,3.39,5800,19662,243003,245382,58909,1,S,300388
600020,2021.01.04T09:30:05.640,3.39,4000,13560,257112,245382,63436,1,B,314920
600020,2021.01.04T09:30:06.020,3.38,1000,3380,62541,262273,65146,1,S,321051
600020,2021.01.04T09:30:06.140,3.38,1000,3380,62541,263958,65728,1,S,323067
600020,2021.01.04T09:30:07.740,3.38,300,1014,62541,282944,72758,1,S,346429
600020,2021.01.04T09:30:07.740,3.38,100,338,62541,282945,72759,1,S,346430
600020,2021.01.04T09:30:07.740,3.38,235,794.29999999999984,62541,282947,72761,1,S,346432
600020,2021.01.04T09:30:07.740,3.38,165,557.700000000000045,66373,282947,72762,1,S,346433
600020,2021.01.04T09:30:07.740,3.38,100,338,66373,282948,72763,1,S,346434
600020,2021.01.04T09:30:07.740,3.38,600,2028,66373,283143,72814,1,S,346654
600020,2021.01.04T09:30:07.740,3.38,100,338,66373,283156,72823,1,S,346668
600020,2021.01.04T09:30:07.740,3.38,300,1014,66373,283161,72827,1,S,346673
600020,2021.01.04T09:30:07.740,3.38,1200,4056,66373,283170,72831,1,S,346682
600020,2021.01.04T09:30:07.740,3.38,535,1808.299999999999954,66373,284408,73345,1,S,348266
600020,2021.01.04T09:30:07.740,3.38,665,2247.699999999999818,66378,284408,73346,1,S,348267
600020,2021.01.04T09:30:08.280,3.38,2335,7892.300000000000181,66378,288986,75077,1,S,353990
600020,2021.01.04T09:30:08.280,3.38,6200,20956,97680,288986,75078,1,S,353991
600020,2021.01.04T09:30:08.280,3.38,2400,8112,127490,288986,75079,1,S,353992
600020,2021.01.04T09:30:08.280,3.38,7965,26921.700000000000727,143381,288986,75080,1,S,353993
600020,2021.01.04T09:30:09.350,3.38,200,676,143381,295319,77527,1,S,361885
600020,2021.01.04T09:30:09.350,3.38,200,676,143381,295320,77528,1,S,361886
600020,2021.01.04T09:30:09.350,3.38,200,676,143381,295321,77529,1,S,361887
600020,2021.01.04T09:30:09.360,3.38,800,2704,143381,295530,77606,1,S,362142
600020,2021.01.04T09:30:09.360,3.38,200,676,143381,295544,77607,1,S,362156
600020,2021.01.04T09:30:09.410,3.38,435,1470.299999999999954,143381,295762,77708,1,S,362440
600020,2021.01.04T09:30:09.410,3.38,165,557.700000000000045,182268,295762,77709,1,S,362441
600020,2021.01.04T09:30:09.460,3.38,835,2822.300000000000181,182268,296214,77871,1,S,363003
600020,2021.01.04T09:30:09.460,3.38,365,1233.700000000000045,286220,296214,77872,1,S,363004
600020,2021.01.04T09:30:09.500,3.38,1700,5746,286220,296318,77943,1,S,363168
600020,2021.01.04T09:30:09.500,3.38,300,1014,286220,296319,77944,1,S,363169
600020,2021.01.04T09:30:10.350,3.38,100,338,286220,300457,79726,1,S,368614
600020,2021.01.04T09:30:10.650,3.38,200,676,286220,301465,80167,1,S,369914
600020,2021.01.04T09:30:11.450,3.38,335,1132.299999999999954,286220,304159,81363,1,S,373472
600020,2021.01.04T09:30:13.090,3.38,600,2028,308426,304159,83533,1,B,379289
600020,2021.01.04T09:30:13.370,3.38,365,1233.700000000000045,309150,304159,83922,1,B,380335
600020,2021.01.04T09:30:15.570,3.38,35,118.299999999999997,309150,312862,86267,1,S,385975
600020,2021.01.04T09:30:15.570,3.37,2765,9318.049999999999272,66374,312862,86268,1,S,385976
600020,2021.01.04T09:30:20.760,3.38,8600,29068,313871,320930,91963,1,S,399173
600020,2021.01.04T09:30:20.760,3.37,2235,7531.949999999998908,66374,320930,91964,1,S,399174
600020,2021.01.04T09:30:20.760,3.37,5000,16850,66379,320930,91965,1,S,399175
600020,2021.01.04T09:30:20.760,3.37,10600,35722,77795,320930,91966,1,S,399176
600020,2021.01.04T09:30:20.760,3.37,6000,20220,124391,320930,91967,1,S,399177
600020,2021.01.04T09:30:20.760,3.37,900,3033,166188,320930,91968,1,S,399178
600020,2021.01.04T09:30:22.060,3.37,1200,4044,323599,320930,93953,1,B,403540
600020,2021.01.04T09:30:22.060,3.37,1300,4381,323609,320930,93957,1,B,403551
