Time,Exchange,Symbol,Bid_Price,Bid_Size,Offer_Price,Offer_Size
04:40:11.686699000,T,AAPL,0,0,27.42,1
06:42:50.247631000,P,AAPL,26.7,10,27.47,1
07:00:12.194786000,P,AAPL,26.75,5,27.47,1
07:15:03.578071000,P,AAPL,26.7,10,27.47,1
07:59:39.606882000,K,AAPL,26.9,1,0,0
08:00:00.022134000,K,AAPL,26.9,1,27.49,10
08:00:00.461429000,P,AAPL,26.7,10,27.23,1
08:00:02.082474000,P,AAPL,26.7,10,27.47,1
08:00:02.456769000,P,AAPL,26.7,10,27.25,1
08:00:04.079830000,P,AAPL,26.7,10,27.47,1
08:00:18.358246000,T,AAPL,26.91,10,27.42,1
08:01:01.538596000,K,AAPL,26.88,1,27.29,2
08:06:46.969733000,P,AAPL,26.95,1,27.46,1
08:10:57.956544000,P,AAPL,26.95,1,27.27,3
08:11:11.244985000,K,AAPL,26.97,8,27.28,8
08:11:32.007333000,T,AAPL,27,1,27.42,1
08:12:46.264069000,T,AAPL,26.72,3,27.42,1
08:30:09.444133000,P,AAPL,26.95,1,27.25,8
08:30:15.823126000,P,AAPL,26.95,1,27.23,2
08:30:23.160481000,P,AAPL,26.91,10,27.23,2
08:30:26.027555000,P,AAPL,27,1,27.23,2
08:30:30.006196000,P,AAPL,26.91,10,27.23,2
08:33:35.626005000,P,AAPL,26.92,1,27.08,2
08:49:01.440395000,K,AAPL,26.96,1,27.15,2
08:50:13.477907000,P,AAPL,27,63,27.2,10
08:51:22.122128000,P,AAPL,27.01,1,27.2,10
08:57:16.359075000,K,AAPL,26.96,1,27.05,10
09:01:00.112577000,P,AAPL,27,63,27.15,5
09:02:00.322203000,P,AAPL,27,61,27.05,2
09:10:00.039789000,P,AAPL,27,59,27.05,1
09:17:51.103764000,P,AAPL,27,60,27.05,1
09:17:52.269685000,P,AAPL,27,59,27.05,1
09:17:52.839051000,P,AAPL,27.01,1,27.05,1
09:17:54.051830000,P,AAPL,27,59,27.05,1
09:17:55.895349000,P,AAPL,27,64,27.05,1
09:17:56.143001000,P,AAPL,27,69,27.05,1
09:20:00.049843000,K,AAPL,26.96,2,27.04,3
09:20:00.176088000,P,AAPL,27,65,27.04,3
09:20:00.187506000,K,AAPL,26.96,1,27.04,3
09:27:29.968161000,T,AAPL,26.96,5,27.26,1
09:27:51.933817000,T,AAPL,26.78,1,27.03,6
09:27:54.961534000,P,AAPL,26.91,10,27.04,4
09:27:54.962546000,K,AAPL,26.88,4,27.04,2
09:27:55.004082000,Y,AAPL,26.91,60,27.08,5
09:27:55.094226000,Y,AAPL,25.11,1,27.08,5
09:27:56.993431000,P,AAPL,26.91,11,27.04,4
09:27:58.000392000,P,AAPL,26.91,10,27.04,4
09:28:00.041869000,P,AAPL,26.91,7,27.04,4
09:28:00.045112000,P,AAPL,26.73,2,27.04,4
09:28:00.046377000,K,AAPL,26.88,3,27.04,2
09:28:00.360473000,K,AAPL,26.85,1,27.04,2
09:28:00.749307000,K,AAPL,26.7,4,27.04,2
