symbol,date,time,bid,ofr,bidsiz,ofrsiz,mode,ex,mmid
A,2022.02.20,6:24:34,1,0,1,0,12,'P',null
A,2022.02.20,6:24:56,0,0,0,0,12,'P',null
A,2022.02.20,7:02:00,0,54.84,0,1,12,'T',null
A,2022.02.20,7:02:00,22.17,54.84,1,1,12,'T',null
A,2022.02.20,7:08:22,37,54.84,1,1,12,'T',null
A,2022.02.20,7:08:22,37,38.12,1,1,12,'T',null
A,2022.02.20,7:10:25,37.03,38.12,6,1,12,'T',null
A,2022.02.20,7:21:44,37.03,38.85,6,1,12,'T',null
A,2022.02.20,7:21:44,37.03,39.01,6,6,12,'T',null
A,2022.02.20,7:26:20,36.25,40.05,70,70,12,'P',null
A,2022.02.20,7:50:28,37,39.01,1,6,12,'T',null
A,2022.02.20,7:50:30,36.27,40.05,1,70,12,'P',null
A,2022.02.20,7:50:40,37.02,39.01,6,6,12,'T',null
A,2022.02.20,7:50:42,36.25,40.05,70,70,12,'P',null
A,2022.02.20,7:57:53,37.3,39.01,3,6,12,'T',null
A,2022.02.20,7:57:53,37.3,40.05,3,70,12,'P',null
A,2022.02.20,8:00:04,37.3,39,3,5,12,'T',null
A,2022.02.20,8:00:04,37.3,39,3,7,12,'T',null
A,2022.02.20,8:00:14,0.01,214748.3647,1,1,12,'D',FLOW
A,2022.02.20,8:02:20,37.3,39.98,3,20,12,'P',null
A,2022.02.20,8:02:20,36.32,201000,20,1,12,'D',EDGX
A,2022.02.20,8:02:20,36.32,201000,20,1,12,'D',EDGA
A,2022.02.20,8:02:20,36.32,39.98,20,20,12,'D',EDGX
A,2022.02.20,8:02:21,36.32,39.98,20,20,12,'D',EDGA
A,2022.02.20,8:05:19,36.33,39.98,20,20,12,'D',EDGX
A,2022.02.20,8:05:19,36.33,39.98,20,20,12,'D',EDGA
A,2022.02.20,8:05:20,36.33,39.97,20,20,12,'D',EDGX
A,2022.02.20,8:05:20,36.33,39.97,20,20,12,'D',EDGA
A,2022.02.20,8:05:22,36.33,39.97,40,20,12,'D',EDGA
A,2022.02.20,8:05:22,36.33,39.97,40,40,12,'D',EDGX
A,2022.02.20,8:05:22,36.33,39.97,40,40,12,'D',EDGA
A,2022.02.20,8:05:33,37.3,39.9,3,20,12,'P',null
A,2022.02.20,8:51:59,37.32,39,5,7,12,'T',null
A,2022.02.20,8:51:59,37.32,38.98,5,5,12,'T',null
A,2022.02.20,8:51:59,37.32,38.93,5,5,12,'T',null
A,2022.02.20,8:51:59,37.32,38.93,5,10,12,'T',null
A,2022.02.20,8:53:30,37.32,38.93,5,5,12,'T',null
A,2022.02.20,8:53:30,37.32,38.91,5,5,12,'T',null
A,2022.02.20,8:53:30,36.33,39.97,40,20,12,'D',EDGX
A,2022.02.20,8:53:30,36.33,39.97,40,20,12,'D',EDGA
A,2022.02.20,8:53:31,36.33,39.86,40,20,12,'D',EDGA
A,2022.02.20,8:53:31,36.33,39.86,40,20,12,'D',EDGX
A,2022.02.20,8:53:32,36.33,39.86,40,40,12,'D',EDGX
A,2022.02.20,8:53:32,36.33,39.86,40,40,12,'D',EDGA
A,2022.02.20,8:54:25,37.3,39.9,3,40,12,'P',null
A,2022.02.20,9:15:00,0.01,999.99,1,1,12,'W',null
A,2022.02.20,9:16:51,0,39.72,0,1,12,'C',null
A,2022.02.20,9:16:51,37.3,39.2,3,10,12,'P',null
A,2022.02.20,9:16:51,36.58,39.72,1,1,12,'C',null
A,2022.02.20,9:17:56,37.3,39.9,3,40,12,'P',null
A,2022.02.20,9:18:35,37.3,39.2,3,10,12,'P',null
A,2022.02.20,9:18:35,37.3,39.9,3,40,12,'P',null
A,2022.02.20,9:22:38,37.3,39.2,3,8,12,'P',null
A,2022.02.20,9:23:54,37.3,39.05,3,25,12,'P',null
A,2022.02.20,9:25:02,37.3,39.04,3,16,12,'P',null
A,2022.02.20,9:25:14,37.3,39.05,3,25,12,'P',null
A,2022.02.20,9:26:59,37.32,39,5,7,12,'T',null
A,2022.02.20,9:26:59,37.3,39,3,7,12,'T',null
A,2022.02.20,9:28:18,37.6,39,5,7,12,'T',null
A,2022.02.20,9:28:18,37.31,39.05,5,25,12,'P',null
A,2022.02.20,9:28:20,37.6,39.05,5,25,12,'P',null
A,2022.02.20,9:28:23,37.6,38.5,5,5,12,'T',null
A,2022.02.20,9:28:28,37.6,38.5,5,5,12,'P',null
A,2022.02.20,9:28:39,36.33,39.86,20,40,12,'D',EDGX
A,2022.02.20,9:28:39,36.33,39.86,20,40,12,'D',EDGA
A,2022.02.20,9:28:40,36.44,39.86,20,40,12,'D',EDGX
A,2022.02.20,9:28:40,36.44,39.86,20,40,12,'D',EDGA
A,2022.02.20,9:28:42,36.44,39.86,40,40,12,'D',EDGX
A,2022.02.20,9:28:42,36.44,39.86,40,40,12,'D',EDGA
A,2022.02.20,9:29:16,36.44,39.86,40,20,12,'D',EDGX
A,2022.02.20,9:29:16,36.44,39.86,40,20,12,'D',EDGA
A,2022.02.20,9:29:17,36.44,39.75,40,20,12,'D',EDGX
A,2022.02.20,9:29:17,36.44,39.75,40,20,12,'D',EDGA
A,2022.02.20,9:29:19,36.44,39.75,40,40,12,'D',EDGX
A,2022.02.20,9:29:19,36.44,39.75,40,40,12,'D',EDGA
A,2022.02.20,9:29:45,36.58,39.67,1,20,12,'C',null
A,2022.02.20,9:29:45,36.44,39.75,20,40,12,'D',EDGX
A,2022.02.20,9:29:45,36.44,39.75,20,40,12,'D',EDGA
A,2022.02.20,9:29:46,36.55,39.75,20,40,12,'D',EDGX
A,2022.02.20,9:29:46,36.55,39.75,20,40,12,'D',EDGA
A,2022.02.20,9:29:48,36.55,39.75,40,40,12,'D',EDGX
A,2022.02.20,9:29:48,36.55,39.75,40,40,12,'D',EDGA
A,2022.02.20,9:29:55,36.55,39.75,40,20,12,'D',EDGX
A,2022.02.20,9:29:55,36.55,39.75,40,20,12,'D',EDGA
A,2022.02.20,9:29:56,36.55,39.64,40,20,12,'D',EDGX
A,2022.02.20,9:29:56,36.55,39.64,40,20,12,'D',EDGA
A,2022.02.20,9:29:58,36.55,39.64,40,40,12,'D',EDGX
A,2022.02.20,9:29:58,36.55,39.64,40,40,12,'D',EDGA
A,2022.02.20,9:30:05,36.58,39.67,21,20,12,'C',null
A,2022.02.20,9:30:05,36.58,39.67,21,40,12,'C',null
A,2022.02.20,9:30:24,36.58,39.67,21,20,12,'C',null
A,2022.02.20,9:30:24,36.58,38.99,21,1,12,'C',null
A,2022.02.20,9:30:24,37.6,38.5,9,6,12,'P',null
A,2022.02.20,9:30:29,33.6,42.5,1,1,12,'W',null
A,2022.02.20,9:30:30,38.04,38.11,46,6,10,'N',null
A,2022.02.20,9:30:30,38.04,38.11,45,6,12,'N',null
A,2022.02.20,9:30:31,37.99,38.5,1,5,12,'T',null
A,2022.02.20,9:30:31,37.99,38.16,1,1,12,'T',null
A,2022.02.20,9:30:31,38.05,38.16,1,1,12,'T',null
A,2022.02.20,9:30:31,38.05,38.16,2,1,12,'T',null
A,2022.02.20,9:30:31,37.76,38.5,1,6,12,'P',null
A,2022.02.20,9:30:32,34.04,42.11,1,1,12,'W',null
A,2022.02.20,9:30:32,37.76,38.5,1,5,12,'P',null
A,2022.02.20,9:30:32,38.05,38.16,1,1,12,'T',null
A,2022.02.20,9:30:32,38.06,38.11,3,6,12,'N',null
A,2022.02.20,9:30:32,38.05,38.5,1,5,12,'T',null
A,2022.02.20,9:30:32,37.6,38.5,5,5,12,'P',null
A,2022.02.20,9:30:32,38.05,38.11,1,1,12,'T',null
A,2022.02.20,9:30:32,38.06,38.25,3,1,12,'N',null
A,2022.02.20,9:30:32,38.07,38.25,1,1,12,'N',null
A,2022.02.20,9:30:32,38.07,38.14,1,6,12,'N',null
A,2022.02.20,9:30:32,38.07,38.25,1,1,12,'N',null
A,2022.02.20,9:30:32,38.07,38.2,1,2,12,'N',null
A,2022.02.20,9:30:33,0,49.75,0,1,12,'M',null
A,2022.02.20,9:30:33,36.55,39.64,40,20,12,'D',EDGX
A,2022.02.20,9:30:33,36.55,39.64,40,20,12,'D',EDGA
A,2022.02.20,9:30:34,38.07,38.11,1,1,12,'N',null
A,2022.02.20,9:30:34,38.07,38.11,1,2,12,'N',null
A,2022.02.20,9:30:34,36.58,38.49,21,1,12,'C',null
A,2022.02.20,9:30:34,38.1,38.11,1,1,12,'N',null
A,2022.02.20,9:30:34,37.6,38.49,5,1,12,'P',null
A,2022.02.20,9:30:34,38.07,38.11,1,1,12,'N',null
A,2022.02.20,9:30:34,36.55,39.53,40,20,12,'D',EDGX
A,2022.02.20,9:30:35,36.55,39.53,40,20,12,'D',EDGA
A,2022.02.20,9:30:36,36.55,39.53,40,40,12,'D',EDGX
A,2022.02.20,9:30:36,36.55,39.53,40,40,12,'D',EDGA
A,2022.02.20,9:30:37,38.08,38.11,3,1,12,'N',null
A,2022.02.20,9:30:37,38.08,38.11,3,2,12,'N',null
A,2022.02.20,9:30:37,38.08,38.11,4,2,12,'N',null
A,2022.02.20,9:30:38,36.58,39.56,21,20,12,'C',null
A,2022.02.20,9:30:38,38.07,38.11,1,1,12,'T',null
A,2022.02.20,9:30:38,37.78,38.5,1,5,12,'P',null
A,2022.02.20,9:30:38,37.97,38.21,1,1,12,'P',null
A,2022.02.20,9:30:39,36.55,39.53,20,40,12,'D',EDGX
A,2022.02.20,9:30:39,36.55,39.53,20,40,12,'D',EDGA
A,2022.02.20,9:30:39,36.58,39.56,21,40,12,'C',null
A,2022.02.20,9:30:40,36.58,39.56,41,40,12,'C',null
A,2022.02.20,9:30:40,37.98,38.21,1,1,12,'P',null
A,2022.02.20,9:30:40,36.66,39.56,20,40,12,'C',null
A,2022.02.20,9:30:40,36.66,39.53,20,40,12,'D',EDGA
A,2022.02.20,9:30:40,36.66,39.53,20,40,12,'D',EDGX
A,2022.02.20,9:30:42,36.66,39.56,40,40,12,'C',null
A,2022.02.20,9:30:42,36.66,39.53,40,40,12,'D',EDGX
A,2022.02.20,9:30:42,36.66,39.53,40,40,12,'D',EDGA
A,2022.02.20,9:30:49,36.66,39.56,40,20,12,'C',null
A,2022.02.20,9:30:50,36.66,39.53,40,20,12,'C',null
A,2022.02.20,9:30:50,36.66,39.45,40,20,12,'C',null
A,2022.02.20,9:30:51,37.97,38.21,1,1,12,'P',null
A,2022.02.20,9:30:52,36.66,39.45,40,40,12,'C',null
A,2022.02.20,9:30:55,36.66,39.53,40,20,12,'D',EDGX
A,2022.02.20,9:30:55,36.66,39.53,40,20,12,'D',EDGA
A,2022.02.20,9:30:56,38.07,38.11,1,10,12,'T',null
