symbol,date,time,bid,ofr,bidsiz,ofrsiz,mode,ex,mmid,ts
A,2022.02.20,06:24:34,1,0,1,0,12,'P',null,2022.02.20T11:24:34
A,2022.02.20,06:24:56,0,0,0,0,12,'P',null,2022.02.20T11:24:56
A,2022.02.20,07:02:00,0,54.840000000000003,0,1,12,'T',null,2022.02.20T12:02:00
A,2022.02.20,07:02:00,22.170000000000001,54.840000000000003,1,1,12,'T',null,2022.02.20T12:02:00
A,2022.02.20,07:08:22,37,54.840000000000003,1,1,12,'T',null,2022.02.20T12:08:22
A,2022.02.20,07:08:22,37,38.119999999999997,1,1,12,'T',null,2022.02.20T12:08:22
A,2022.02.20,07:10:25,37.030000000000001,38.119999999999997,6,1,12,'T',null,2022.02.20T12:10:25
A,2022.02.20,07:21:44,37.030000000000001,38.850000000000001,6,1,12,'T',null,2022.02.20T12:21:44
A,2022.02.20,07:21:44,37.030000000000001,39.009999999999998,6,6,12,'T',null,2022.02.20T12:21:44
A,2022.02.20,07:26:20,36.25,40.049999999999997,70,70,12,'P',null,2022.02.20T12:26:20
A,2022.02.20,07:50:28,37,39.009999999999998,1,6,12,'T',null,2022.02.20T12:50:28
A,2022.02.20,07:50:30,36.270000000000003,40.049999999999997,1,70,12,'P',null,2022.02.20T12:50:30
A,2022.02.20,07:50:40,37.020000000000003,39.009999999999998,6,6,12,'T',null,2022.02.20T12:50:40
A,2022.02.20,07:50:42,36.25,40.049999999999997,70,70,12,'P',null,2022.02.20T12:50:42
A,2022.02.20,07:57:53,37.299999999999997,39.009999999999998,3,6,12,'T',null,2022.02.20T12:57:53
A,2022.02.20,07:57:53,37.299999999999997,40.049999999999997,3,70,12,'P',null,2022.02.20T12:57:53
A,2022.02.20,08:00:04,37.299999999999997,39,3,5,12,'T',null,2022.02.20T13:00:04
A,2022.02.20,08:00:04,37.299999999999997,39,3,7,12,'T',null,2022.02.20T13:00:04
A,2022.02.20,08:00:14,0.01,214748.364700000005541,1,1,12,'D',FLOW,2022.02.20T13:00:14
A,2022.02.20,08:02:20,37.299999999999997,39.979999999999996,3,20,12,'P',null,2022.02.20T13:02:20
A,2022.02.20,08:02:20,36.32,201000,20,1,12,'D',EDGX,2022.02.20T13:02:20
A,2022.02.20,08:02:20,36.32,201000,20,1,12,'D',EDGA,2022.02.20T13:02:20
A,2022.02.20,08:02:20,36.32,39.979999999999996,20,20,12,'D',EDGX,2022.02.20T13:02:20
A,2022.02.20,08:02:21,36.32,39.979999999999996,20,20,12,'D',EDGA,2022.02.20T13:02:21
A,2022.02.20,08:05:19,36.329999999999998,39.979999999999996,20,20,12,'D',EDGX,2022.02.20T13:05:19
A,2022.02.20,08:05:19,36.329999999999998,39.979999999999996,20,20,12,'D',EDGA,2022.02.20T13:05:19
A,2022.02.20,08:05:20,36.329999999999998,39.969999999999998,20,20,12,'D',EDGX,2022.02.20T13:05:20
A,2022.02.20,08:05:20,36.329999999999998,39.969999999999998,20,20,12,'D',EDGA,2022.02.20T13:05:20
A,2022.02.20,08:05:22,36.329999999999998,39.969999999999998,40,20,12,'D',EDGA,2022.02.20T13:05:22
A,2022.02.20,08:05:22,36.329999999999998,39.969999999999998,40,40,12,'D',EDGX,2022.02.20T13:05:22
A,2022.02.20,08:05:22,36.329999999999998,39.969999999999998,40,40,12,'D',EDGA,2022.02.20T13:05:22
A,2022.02.20,08:05:33,37.299999999999997,39.899999999999998,3,20,12,'P',null,2022.02.20T13:05:33
A,2022.02.20,08:51:59,37.32,39,5,7,12,'T',null,2022.02.20T13:51:59
A,2022.02.20,08:51:59,37.32,38.979999999999996,5,5,12,'T',null,2022.02.20T13:51:59
A,2022.02.20,08:51:59,37.32,38.929999999999999,5,5,12,'T',null,2022.02.20T13:51:59
A,2022.02.20,08:51:59,37.32,38.929999999999999,5,10,12,'T',null,2022.02.20T13:51:59
A,2022.02.20,08:53:30,37.32,38.929999999999999,5,5,12,'T',null,2022.02.20T13:53:30
A,2022.02.20,08:53:30,37.32,38.909999999999996,5,5,12,'T',null,2022.02.20T13:53:30
A,2022.02.20,08:53:30,36.329999999999998,39.969999999999998,40,20,12,'D',EDGX,2022.02.20T13:53:30
A,2022.02.20,08:53:30,36.329999999999998,39.969999999999998,40,20,12,'D',EDGA,2022.02.20T13:53:30
A,2022.02.20,08:53:31,36.329999999999998,39.859999999999999,40,20,12,'D',EDGA,2022.02.20T13:53:31
A,2022.02.20,08:53:31,36.329999999999998,39.859999999999999,40,20,12,'D',EDGX,2022.02.20T13:53:31
A,2022.02.20,08:53:32,36.329999999999998,39.859999999999999,40,40,12,'D',EDGX,2022.02.20T13:53:32
A,2022.02.20,08:53:32,36.329999999999998,39.859999999999999,40,40,12,'D',EDGA,2022.02.20T13:53:32
A,2022.02.20,08:54:25,37.299999999999997,39.899999999999998,3,40,12,'P',null,2022.02.20T13:54:25
A,2022.02.20,09:15:00,0.01,999.990000000000009,1,1,12,'W',null,2022.02.20T14:15:00
A,2022.02.20,09:16:51,0,39.719999999999998,0,1,12,'C',null,2022.02.20T14:16:51
