Time,Exchange,Symbol,Trade_Volume,Trade_Price
08:00:00.022239000,K,AAPL,300,27
08:00:00.022287000,K,AAPL,500,27.25
08:00:00.022317000,K,AAPL,335,27.26
08:00:00.022341000,K,AAPL,100,27.27
08:00:00.022368000,K,AAPL,31,27.4
08:00:02.668076000,D,AAPL,2434,27.42
08:02:20.116025000,D,AAPL,66,27
08:06:31.149930000,K,AAPL,100,27.25
08:06:32.826399000,K,AAPL,100,27.25
08:06:33.168833000,K,AAPL,74,27.25
08:09:08.796074000,D,AAPL,110,26.95
08:12:28.266291000,P,AAPL,50,27.26
08:12:46.271333000,P,AAPL,100,27.26
08:14:09.742908000,D,AAPL,685,27
08:30:09.442772000,P,AAPL,400,27.03
08:30:09.444121000,P,AAPL,100,27.03
08:30:09.444243000,P,AAPL,200,27
09:00:04.116594000,P,AAPL,3,27.03
09:01:00.112652000,P,AAPL,100,27.01
09:02:00.322272000,P,AAPL,177,27
09:04:59.031817000,P,AAPL,97,27.05
09:07:03.250442000,P,AAPL,5,27.01
09:07:21.928145000,D,AAPL,100,27
09:10:00.039848000,P,AAPL,185,27
09:14:52.161853000,P,AAPL,200,27.01
09:20:00.176107000,P,AAPL,463,27
09:25:00.010079000,P,AAPL,463,27
09:26:30.925152000,P,AAPL,100,27
09:26:31.297733000,P,AAPL,100,27
09:26:32.839262000,P,AAPL,500,27
09:26:33.471282000,P,AAPL,500,27
09:26:34.343272000,P,AAPL,500,27
09:26:35.183345000,P,AAPL,500,27
09:26:35.814824000,P,AAPL,500,27
09:26:36.830305000,P,AAPL,500,27
09:26:37.879543000,P,AAPL,500,27
09:26:42.360000000,P,AAPL,500,27
09:27:10.662436000,K,AAPL,50,27.04
09:27:13.353700000,P,AAPL,700,27
09:27:29.966949000,P,AAPL,148,27
09:27:46.546795000,D,AAPL,50,27.03
09:27:54.961577000,P,AAPL,100,26.96
09:27:55.004202000,Y,AAPL,2000,26.91
09:28:00.040217000,P,AAPL,34,26.92
09:28:00.041874000,P,AAPL,300,26.91
09:28:00.045137000,P,AAPL,700,26.91
09:28:00.046459000,K,AAPL,44,26.88
09:28:00.046508000,K,AAPL,56,26.88
09:28:00.749408000,K,AAPL,78,26.88
09:28:00.755884000,T,AAPL,3400,26.86
09:28:00.770358000,K,AAPL,75,26.85
09:28:00.846544000,T,AAPL,200,26.84
09:28:15.845958000,P,AAPL,366,26.86
09:28:15.846066000,P,AAPL,200,26.85
09:28:15.847797000,P,AAPL,1534,26.83
09:29:05.002099000,P,AAPL,66,26.87
09:29:05.002158000,P,AAPL,500,26.87
